ClusterID,StudentID,CourseID,mean_cluster_grade,count
0,194,T207036,5.0,190
0,194,T206060,5.0,184
0,194,T207034,5.0,178
0,194,T207059,5.0,92
0,194,12E051SCIENCES,5.0,82
0,194,12E050SCIENCES,5.0,82
0,194,J2D035,5.0,81
0,194,J2P201,5.0,76
0,196,T207035,5.0,214
0,196,T207004,5.0,194
0,196,T207036,5.0,190
0,196,T206060,5.0,184
0,196,T207034,5.0,178
0,196,T207059,5.0,92
0,196,12E051SCIENCES,5.0,82
0,196,12E050SCIENCES,5.0,82
0,196,J2D035,5.0,81
0,196,J2P201,5.0,76
0,200,T207037,5.0,207
0,200,T207004,5.0,194
0,200,T207036,5.0,190
0,200,T206060,5.0,184
0,200,T207034,5.0,178
0,200,T207059,5.0,92
0,200,12E051SCIENCES,5.0,82
0,200,12E050SCIENCES,5.0,82
0,200,J2D035,5.0,81
0,200,J2P201,5.0,76
0,202,T207002,5.0,233
0,202,T207038,5.0,225
0,202,T207037,5.0,207
0,202,T207004,5.0,194
0,202,T207036,5.0,190
0,202,T206060,5.0,184
0,202,T207034,5.0,178
0,202,T207059,5.0,92
0,202,12E051SCIENCES,5.0,82
0,202,12E050SCIENCES,5.0,82
0,210,T207035,5.0,214
0,210,T207004,5.0,194
0,210,T207036,5.0,190
0,210,T206060,5.0,184
0,210,T207034,5.0,178
0,210,T207059,5.0,92
0,210,12E051SCIENCES,5.0,82
0,210,12E050SCIENCES,5.0,82
0,210,J2D035,5.0,81
0,210,J2P201,5.0,76
0,217,T207037,5.0,207
0,217,T207004,5.0,194
0,217,T207036,5.0,190
0,217,T206060,5.0,184
0,217,T207034,5.0,178
0,217,T207059,5.0,92
0,217,12E051SCIENCES,5.0,82
0,217,12E050SCIENCES,5.0,82
0,217,J2D035,5.0,81
0,217,J2P201,5.0,76
0,219,T207012,5.0,233
0,219,T207004,5.0,194
0,219,T207036,5.0,190
0,219,T206060,5.0,184
0,219,T207034,5.0,178
0,219,T207059,5.0,92
0,219,12E051SCIENCES,5.0,82
0,219,12E050SCIENCES,5.0,82
0,219,J2D035,5.0,81
0,219,J2P201,5.0,76
0,220,T207012,5.0,233
0,220,T207004,5.0,194
0,220,T207036,5.0,190
0,220,T206060,5.0,184
0,220,T207034,5.0,178
0,220,T207059,5.0,92
0,220,12E051SCIENCES,5.0,82
0,220,12E050SCIENCES,5.0,82
0,220,J2D035,5.0,81
0,220,J2P201,5.0,76
0,224,T207002,5.0,233
0,224,T207037,5.0,207
0,224,T207004,5.0,194
0,224,T207036,5.0,190
0,224,T206060,5.0,184
0,224,T207034,5.0,178
0,224,T207059,5.0,92
0,224,12E051SCIENCES,5.0,82
0,224,12E050SCIENCES,5.0,82
0,224,J2D035,5.0,81
0,231,T207002,5.0,233
0,231,T207038,5.0,225
0,231,T207037,5.0,207
0,231,T207004,5.0,194
0,231,T207036,5.0,190
0,231,T206060,5.0,184
0,231,T207034,5.0,178
0,231,T207059,5.0,92
0,231,12E051SCIENCES,5.0,82
0,231,12E050SCIENCES,5.0,82
0,232,T207037,5.0,207
0,232,T207004,5.0,194
0,232,T207036,5.0,190
0,232,T206060,5.0,184
0,232,T207034,5.0,178
0,232,T207059,5.0,92
0,232,12E051SCIENCES,5.0,82
0,232,12E050SCIENCES,5.0,82
0,232,J2D035,5.0,81
0,232,J2P201,5.0,76
0,234,T207035,5.0,214
0,234,T207004,5.0,194
0,234,T207036,5.0,190
0,234,T206060,5.0,184
0,234,T207034,5.0,178
0,234,T207059,5.0,92
0,234,12E051SCIENCES,5.0,82
0,234,12E050SCIENCES,5.0,82
0,234,J2D035,5.0,81
0,234,J2P201,5.0,76
0,238,T207002,5.0,233
0,238,T207038,5.0,225
0,238,T207004,5.0,194
0,238,T207036,5.0,190
0,238,T206060,5.0,184
0,238,T207034,5.0,178
0,238,T207059,5.0,92
0,238,12E051SCIENCES,5.0,82
0,238,12E050SCIENCES,5.0,82
0,238,J2D035,5.0,81
0,239,T207002,5.0,233
0,239,T207038,5.0,225
0,239,T207037,5.0,207
0,239,T207004,5.0,194
0,239,T207036,5.0,190
0,239,T206060,5.0,184
0,239,T207034,5.0,178
0,239,T207059,5.0,92
0,239,12E051SCIENCES,5.0,82
