ClusterID,StudentID,CourseID,mean_cluster_grade,count
0,69,12E050SCIENCES,5.0,82
0,69,T206056,5.0,51
0,69,T208012,5.0,64
0,69,T208011,5.0,33
0,69,T208003,5.0,43
0,69,T208000,5.0,46
0,69,T207059,5.0,92
0,69,T207038,5.0,225
0,69,T207036,5.0,190
0,69,T207034,5.0,178
0,75,12E050SCIENCES,5.0,82
0,75,T206056,5.0,51
0,75,T208012,5.0,64
0,75,T208011,5.0,33
0,75,T208003,5.0,43
0,75,T208000,5.0,46
0,75,T207059,5.0,92
0,75,T207038,5.0,225
0,75,T207036,5.0,190
0,75,T207034,5.0,178
0,80,12E050SCIENCES,5.0,82
0,80,T206056,5.0,51
0,80,T208012,5.0,64
0,80,T208011,5.0,33
0,80,T208003,5.0,43
0,80,T208000,5.0,46
0,80,T207059,5.0,92
0,80,T207038,5.0,225
0,80,T207036,5.0,190
0,80,T207034,5.0,178
0,92,12E050SCIENCES,5.0,82
0,92,12E051SCIENCES,5.0,82
0,92,T208012,5.0,64
0,92,T208011,5.0,33
0,92,T208003,5.0,43
0,92,T208000,5.0,46
0,92,T207059,5.0,92
0,92,T207037,5.0,207
0,92,T207036,5.0,190
0,92,T207034,5.0,178
0,95,12E050SCIENCES,5.0,82
0,95,T206057,5.0,45
0,95,T208012,5.0,64
0,95,T208011,5.0,33
0,95,T208003,5.0,43
0,95,T208000,5.0,46
0,95,T207059,5.0,92
0,95,T207037,5.0,207
0,95,T207036,5.0,190
0,95,T207035,5.0,214
0,113,12E050SCIENCES,5.0,82
0,113,12E051SCIENCES,5.0,82
0,113,T208012,5.0,64
0,113,T208011,5.0,33
0,113,T208003,5.0,43
0,113,T208000,5.0,46
0,113,T207059,5.0,92
0,113,T207037,5.0,207
0,113,T207036,5.0,190
0,113,T207034,5.0,178
0,122,12E050SCIENCES,5.0,82
0,122,12E051SCIENCES,5.0,82
0,122,T208012,5.0,64
0,122,T208011,5.0,33
0,122,T208003,5.0,43
0,122,T208000,5.0,46
0,122,T207059,5.0,92
0,122,T207038,5.0,225
