CourseID,StudentID,Grades
T200002,227,5.0
T200000,227,5.25
T200001,227,5.0
T207041,227,5.0
T207033,227,4.5
T207040,227,4.5
T200003,227,5.0
T207000,227,4.75
T207012,227,5.0
T207035,227,5.0
T207037,227,5.25
T206060,227,5.5
T207004,227,4.5
T207036,227,5.25
T207002,227,5.25
J2P015,227,5.0
T206054,227,4.75
T208014,227,5.25
T206024,227,5.25
T206006,227,5.0
T206001,227,4.75
T100007,14,5.5
T100005,14,4.5
T107005,14,4.75
T100000,14,4.75
T100001,14,4.25
T100004,14,4.75
T100006,14,4.75
T107009,14,4.25
T100003,14,5.0
T108000,14,5.75
T108002,14,5.0
T106001,14,4.75
T106006,14,5.0
T200002,14,5.0
T200000,14,4.75
T200001,14,5.25
T207041,14,5.0
T207033,14,5.75
T207040,14,5.0
T200003,14,5.0
T207000,14,5.75
T207038,14,5.75
T207012,14,5.0
T207035,14,4.0
T207002,14,5.0
T206060,14,5.25
T207004,14,5.25
T207036,14,4.25
T207034,14,5.25
J2P201,14,5.75
T208012,14,4.25
T206006,14,5.25
T205027,14,5.5
T100007,293,5.5
T100005,293,5.5
T107005,293,5.5
T100000,293,5.5
T100001,293,5.5
T100004,293,5.0
T100006,293,5.25
T107009,293,4.5
T100003,293,4.75
T108002,293,4.5
T108000,293,5.0
T106001,293,4.75
T106006,293,5.25
T200002,293,4.0
T200000,293,5.5
T200001,293,4.5
T207041,293,4.75
T207033,293,4.75
T207040,293,5.25
T200003,293,5.0
T207000,293,5.25
T207012,293,4.5
T207037,293,5.0
T207035,293,4.25
T206060,293,5.25
T207004,293,4.25
T207034,293,5.25
T207002,293,5.0
J2D035,293,4.75
T206054,293,4.5
T206058,293,5.25
T206001,293,4.75
T208003,293,5.25
T205027,293,4.75
T100007,118,5.25
T100005,118,4.75
T107005,118,5.0
T100000,118,5.0
T100001,118,4.25
T100004,118,4.0
T100006,118,5.25
T107009,118,5.0
T100003,118,5.25
T108000,118,5.5
T105001,118,4.75
T106001,118,5.0
T106006,118,5.0
T200002,118,5.25
T200000,118,4.75
T200001,118,4.25
T207041,118,5.5
T207033,118,4.75
T207040,118,5.25
T200003,118,5.0
T207000,118,4.75
T207037,118,5.25
T207012,118,6.0
T207038,118,5.0
T207002,118,5.25
T206060,118,5.25
T207004,118,5.0
T207036,118,4.75
J2P015,118,4.25
J2D035,118,4.5
T205020,118,5.25
T206006,118,5.0
T206002,118,4.5
T100007,198,5.0
T100005,198,4.0
T107005,198,4.0
T100000,198,4.75
T100001,198,6.0
T100004,198,4.5
T100006,198,5.0
T107009,198,5.0
T100003,198,4.75
T106001,198,4.75
