CourseID,StudentID,Grades
74110,431,5.0
74146,431,4.75
742386,431,5.0
742382,431,5.25
742385,431,5.0
7422A5,431,5.0
7422A8,431,5.25
7422A7,431,4.75
7417I,431,5.5
7422AG,431,5.25
742452,431,5.25
742481,431,5.25
742516,431,4.75
742514,431,4.75
742000,316,5.0
742001,316,5.5
742007,316,5.0
742003,316,5.5
742066,316,5.25
742060,316,5.0
7420601,316,5.0
742064,316,6.0
742066,316,4.75
7420AD,316,5.25
742120,316,5.0
7414H,316,5.0
J2M292,316,4.75
742211,316,5.0
742327,316,5.25
742215,316,5.0
742205,316,5.25
742270,316,4.0
742841,316,4.5
742261,316,5.0
742272,316,5.25
742840,316,5.0
742271,316,5.25
742343,316,5.25
742329,316,4.75
742338,316,4.75
742334,316,5.0
742340,316,5.75
742337,316,4.25
742382,316,5.25
742397,316,4.5
742870,316,5.25
752254,316,4.75
742380,316,4.75
742396,316,4.75
7422A5,316,4.5
7422A8,316,5.0
7422A7,316,4.75
7417I,316,4.75
7422AS,316,4.0
742452,316,4.5
742481,316,4.75
742515,316,5.25
742514,316,5.0
742003,527,5.0
742004,527,5.75
742000,527,4.5
742111,527,4.5
742066,527,5.0
742067,527,4.5
7420601,527,5.0
742062,527,4.0
74112,527,5.0
7420AF,527,5.5
742121,527,5.25
742206,527,5.5
742209,527,4.75
J2M292,527,5.0
742215,527,4.75
742327,527,4.75
742205,527,5.25
742851,527,4.75
742871,527,5.0
742270,527,5.0
742840,527,5.5
742262,527,5.0
742261,527,5.25
742340,527,4.5
742337,527,4.75
742343,527,5.75
742336,527,5.25
742329,527,5.25
742338,527,5.0
742870,527,5.25
742385,527,5.0
742389,527,4.75
742397,527,4.75
742382,527,4.75
742386,527,5.25
7422A5,527,5.0
7422A8,527,5.25
7422A7,527,5.25
7417I,527,4.5
7422AA,527,6.0
742450,527,4.75
742481,527,4.5
742515,527,4.5
742517,527,5.5
742007,314,4.75
742004,314,4.5
742003,314,4.0
742002,314,4.75
742060,314,4.75
742067,314,4.75
7420601,314,5.25
742066,314,4.0
742001,314,5.0
7421AE,314,4.75
742120,314,5.5
742205,314,5.0
742211,314,5.25
7414H,314,4.75
742214,314,5.25
742215,314,4.5
J2M292,314,5.0
742271,314,6.0
742851,314,5.75
742272,314,4.75
742262,314,5.0
742261,314,4.75
742871,314,6.0
742343,314,5.75
742344,314,5.0
742336,314,5.25
742337,314,4.0
742338,314,5.0
742329,314,5.5
742386,314,5.25
742382,314,5.75
742383,314,4.75
742389,314,4.75
74110,314,5.25
742397,314,4.75
7422A5,314,5.5
7422A8,314,5.5
7422A7,314,4.25
7417I,314,5.0
7422AG,314,4.25
742450,314,5.0
742481,314,5.0
742515,314,4.75
742514,314,4.5
742004,593,5.0
742000,593,5.25
742003,593,4.5
742007,593,5.0
742060,593,5.75
742066,593,5.25
742067,593,5.5
742062,593,5.25
742062,593,5.25
7421AA,593,4.0
742121,593,4.5
742206,593,5.5
742214,593,5.25
742327,593,5.5
742205,593,4.5
7414H,593,5.0
742209,593,5.5
742840,593,4.0
742271,593,5.5
742851,593,5.0
742261,593,5.0
742270,593,5.0
742841,593,5.75
742340,593,5.0
742334,593,4.5
742344,593,4.5
742337,593,5.5
742336,593,4.25
742338,593,5.0
742397,593,5.25
742861,593,4.5
742383,593,5.25
742386,593,4.25
